="",="(1)",="(2)",="(3)"
="",="fe",="fe_scc",="fe_scc_lag1"
="size",="0.120***",="0.120***",="0.120***"
="",="(0.004)",="(0.008)",="(0.009)"
="ndts",="-0.131***",="-0.131***",="-0.131***"
="",="(0.029)",="(0.013)",="(0.014)"
="tang",="0.087***",="0.087***",="0.087***"
="",="(0.015)",="(0.011)",="(0.014)"
="tobin",="-0.018***",="-0.018***",="-0.018***"
="",="(0.004)",="(0.002)",="(0.003)"
="npr",="-0.147***",="-0.147***",="-0.147***"
="",="(0.014)",="(0.024)",="(0.025)"
="_cons",="-2.074***",="-2.074***",="-2.074***"
="",="(0.093)",="(0.180)",="(0.186)"
="N",="3066",="3066",="3066"
="R-sq",="0.394",="",=""
="r2_w",="0.394",="0.394",="0.394"
="r2_a",="0.292",="",=""
="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
